"config","target","emd","target_label"
22,65,0,"Target: 65%"
23,65,0,"Target: 65%"
24,65,6.69156932830811,"Target: 65%"
25,65,6.69156932830811,"Target: 65%"
26,65,3.24312734603882,"Target: 65%"
27,65,3.24312734603882,"Target: 65%"
28,65,5.87334823608398,"Target: 65%"
29,65,5.87334823608398,"Target: 65%"
30,65,0,"Target: 65%"
1,70,5.35398769378662,"Target: 70%"
2,70,1.09323561191559,"Target: 70%"
3,70,1.09323561191559,"Target: 70%"
4,70,0.00546252960339189,"Target: 70%"
5,70,0.00546252960339189,"Target: 70%"
6,70,0,"Target: 70%"
7,70,0,"Target: 70%"
8,70,0.287144094705582,"Target: 70%"
9,70,5.35398769378662,"Target: 70%"
10,70,1.09323561191559,"Target: 70%"
11,70,1.09323561191559,"Target: 70%"
12,70,0.00546252960339189,"Target: 70%"
13,70,0.00546252960339189,"Target: 70%"
14,70,0,"Target: 70%"
15,70,0,"Target: 70%"
16,70,9.9596118927002,"Target: 70%"
17,70,6.96391105651855,"Target: 70%"
18,70,1.02420330047607,"Target: 70%"
19,70,1.02420330047607,"Target: 70%"
20,70,0,"Target: 70%"
21,70,0,"Target: 70%"
22,70,0,"Target: 70%"
23,70,0,"Target: 70%"
24,70,9.9596118927002,"Target: 70%"
25,70,6.96391105651855,"Target: 70%"
26,70,1.02420330047607,"Target: 70%"
27,70,1.02420330047607,"Target: 70%"
28,70,0,"Target: 70%"
29,70,0,"Target: 70%"
30,70,0,"Target: 70%"
1,75,0.0163943730294704,"Target: 75%"
2,75,1.54179179668427,"Target: 75%"
3,75,1.54179179668427,"Target: 75%"
4,75,0.00412213243544102,"Target: 75%"
5,75,0.00412213243544102,"Target: 75%"
6,75,0.00416314788162708,"Target: 75%"
7,75,0.00416314788162708,"Target: 75%"
8,75,0.341538637876511,"Target: 75%"
9,75,0.0162135232239962,"Target: 75%"
10,75,1.54179179668427,"Target: 75%"
11,75,1.54179179668427,"Target: 75%"
12,75,0.00416314788162708,"Target: 75%"
13,75,0.00416314788162708,"Target: 75%"
14,75,0.00416314788162708,"Target: 75%"
15,75,0.00416314788162708,"Target: 75%"
16,75,0.806324660778046,"Target: 75%"
17,75,0.809054970741272,"Target: 75%"
18,75,1.18291091918945,"Target: 75%"
19,75,1.19927835464478,"Target: 75%"
20,75,0.00416314788162708,"Target: 75%"
21,75,0.00416314788162708,"Target: 75%"
22,75,0.00416314788162708,"Target: 75%"
23,75,0.00416314788162708,"Target: 75%"
24,75,0.809054970741272,"Target: 75%"
25,75,0.809054970741272,"Target: 75%"
26,75,1.19927835464478,"Target: 75%"
27,75,1.19934558868408,"Target: 75%"
28,75,0.00416314788162708,"Target: 75%"
29,75,0.00416314788162708,"Target: 75%"
30,75,0,"Target: 75%"
